date,price,volume
08/21/2017,2428.37,461494144
08/18/2017,2425.55,604768320
08/17/2017,2430.01,522122272
08/16/2017,2468.11,447838176
08/15/2017,2464.61,440317344
08/14/2017,2465.84,460363456
08/11/2017,2441.32,442234816
08/10/2017,2438.21,544085440
08/09/2017,2474.02,462661152
08/08/2017,2474.92,459725408
08/07/2017,2480.91,451477344
08/04/2017,2476.83,497282496
08/03/2017,2472.16,511922112
08/02/2017,2477.57,549613504
08/01/2017,2476.35,520941056
07/31/2017,2470.3,691834816
07/28/2017,2472.1,505672256
07/27/2017,2475.42,654796160
07/26/2017,2477.83,546161216
07/25/2017,2477.13,649138688
07/24/2017,2469.91,586387584
07/21/2017,2472.54,562308032
07/20/2017,2473.45,510915136
07/19/2017,2473.83,466561984
07/18/2017,2460.61,434709856
07/17/2017,2459.14,436852384
07/14/2017,2459.27,439411168
07/13/2017,2447.83,487474688
07/12/2017,2443.25,492047456
07/11/2017,2425.53,463115296
07/10/2017,2427.43,490786848
07/07/2017,2425.18,458121632
07/06/2017,2409.75,554020288
07/05/2017,2432.54,568417856
07/03/2017,2429.01,340988864
06/30/2017,2423.41,641278784
06/29/2017,2419.7,627587456
06/28/2017,2440.69,510888128
06/27/2017,2419.38,546610368
06/26/2017,2439.07,483460704
06/23/2017,2438.3,1058563840
06/22/2017,2434.5,527670752
06/21/2017,2435.61,530549984
06/20/2017,2437.03,505505504
06/19/2017,2453.46,513416992
06/16/2017,2433.15,1613763200
06/15/2017,2432.46,595104704
06/14/2017,2437.92,611088192
06/13/2017,2440.35,674152896
06/12/2017,2429.39,731444160
06/09/2017,2431.77,755077696
06/08/2017,2433.79,655839936
06/07/2017,2433.14,568594752
06/06/2017,2429.33,530720320
06/05/2017,2436.1,444087680
06/02/2017,2439.07,563766272
06/01/2017,2430.06,574309376
05/31/2017,2411.8,922617920
05/30/2017,2412.91,472129088
05/26/2017,2415.82,399884640
05/25/2017,2415.07,509979648
05/24/2017,2404.39,463387968
05/23/2017,2398.42,466396640
05/22/2017,2394.02,495129440
05/19/2017,2381.73,710908800
05/18/2017,2365.72,603568768
05/17/2017,2357.03,705108864
05/16/2017,2400.67,504811424
05/15/2017,2402.32,511578336
05/12/2017,2390.9,458846240
05/11/2017,2394.44,512932992
05/10/2017,2399.63,493871264
05/09/2017,2396.92,493834304
05/08/2017,2399.38,511529376
05/05/2017,2399.29,477040928
05/04/2017,2389.52,563427392
05/03/2017,2388.13,573168384
05/02/2017,2391.17,590628416
05/01/2017,2388.33,496560352
04/28/2017,2384.2,647741952
04/27/2017,2388.77,561146240
04/26/2017,2387.45,561433280
04/25/2017,2388.61,582878336
04/24/2017,2374.15,589409856
04/21/2017,2348.69,616382784
04/20/2017,2355.84,560586624
04/19/2017,2338.17,507986368
04/18/2017,2342.19,467053408
04/17/2017,2349.01,444402016
04/13/2017,2328.95,471753952
04/12/2017,2344.93,503213824
04/11/2017,2353.78,480921856
04/10/2017,2357.16,432266656
04/07/2017,2355.54,463260800
04/06/2017,2357.49,521533216
04/05/2017,2352.95,555957696
04/04/2017,2360.16,482138592
04/03/2017,2358.84,639247488
03/31/2017,2362.72,619866624
03/30/2017,2368.06,488974624
03/29/2017,2361.13,448709888
03/28/2017,2358.57,513845184
03/27/2017,2341.59,543613888
03/24/2017,2343.98,558691648
03/23/2017,2345.96,517824672
03/22/2017,2348.45,575102656
03/21/2017,2344.02,663260416
03/20/2017,2373.47,491568832
03/17/2017,2378.25,1613420288
03/16/2017,2381.38,503386528
03/15/2017,2385.26,538715712
03/14/2017,2365.45,446149088
03/13/2017,2373.47,471549472
03/10/2017,2372.6,532686368
03/09/2017,2364.87,514692928
03/08/2017,2362.98,546572160
03/07/2017,2368.39,498067968
03/06/2017,2375.31,518955680
03/03/2017,2383.12,491616768
03/02/2017,2381.92,529614144
03/01/2017,2395.96,658417408
02/28/2017,2363.64,769353088
02/27/2017,2369.75,487223840
02/24/2017,2367.34,610653760
02/23/2017,2363.81,552145088
02/22/2017,2362.82,521320128
02/21/2017,2365.38,578577920
02/17/2017,2351.16,666246784
02/16/2017,2347.22,536902976
02/15/2017,2349.25,576083840
02/14/2017,2337.58,547310912
02/13/2017,2328.25,502336864
02/10/2017,2316.1,512915072
02/09/2017,2307.87,536921664
02/08/2017,2294.67,534057824
02/07/2017,2293.08,535870208
02/06/2017,2292.56,514444000
02/03/2017,2297.42,565945728
02/02/2017,2280.85,582252928
02/01/2017,2279.55,614381248
01/31/2017,2278.87,762733760
01/30/2017,2280.9,560540864
01/27/2017,2294.69,517517760
01/26/2017,2296.68,589561856
01/25/2017,2298.37,626509888
01/24/2017,2280.07,571145472
01/23/2017,2265.2,534840416
01/20/2017,2271.31,720417216
01/19/2017,2263.69,511723552
01/18/2017,2271.89,510120256
01/17/2017,2267.89,607413824
01/13/2017,2274.64,486472096
01/12/2017,2270.44,478404064
01/11/2017,2275.32,549467584
01/10/2017,2268.9,596464384
01/09/2017,2268.9,532332864
01/06/2017,2276.98,485214848
01/05/2017,2269,573475776
01/04/2017,2270.75,573172224
01/03/2017,2257.83,649219392
12/30/2016,2238.83,544797760
12/29/2016,2249.26,344968992
12/28/2016,2249.92,381535168
12/27/2016,2268.88,299941120
12/23/2016,2263.79,304600352
12/22/2016,2260.96,480911520
12/21/2016,2265.18,432626048
12/20/2016,2270.76,518207008
12/19/2016,2262.53,503191680
12/16/2016,2258.07,1497525120
12/15/2016,2262.03,653862656
12/14/2016,2253.28,714113344
12/13/2016,2271.72,592540480
12/12/2016,2256.96,631895168
12/09/2016,2259.53,556353856
12/08/2016,2246.19,630279040
12/07/2016,2241.35,710260224
