ticker,data_field,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013,01/31/2014,02/28/2014,03/31/2014,04/30/2014,05/30/2014,06/30/2014,07/31/2014,08/29/2014,09/30/2014,10/31/2014,11/28/2014,12/31/2014,01/30/2015,02/27/2015,03/31/2015,04/30/2015,05/29/2015,06/30/2015,07/31/2015,08/31/2015,09/30/2015,10/30/2015,11/30/2015,12/31/2015,01/29/2016,02/29/2016,03/31/2016,04/29/2016,05/31/2016,06/30/2016,07/29/2016,08/31/2016,09/30/2016,10/31/2016,11/30/2016,12/30/2016,01/31/2017,02/28/2017,03/31/2017,04/28/2017,05/31/2017,06/30/2017,07/31/2017,08/31/2017,09/29/2017,10/31/2017,11/30/2017,12/29/2017,01/31/2018,02/28/2018,03/30/2018,04/30/2018
PWB US Equity,EQY_SH_OUT,18.2,17.9,15.8,15.45,14.8,14.55,14.15,13.45,13.2,13.4,13.3,13.25,12.9,11.55,11.4,11.15,11.15,11.05,11.05,10.85,10.85,10.6,10.3,10.15,10.15,10.25,10.25,10.2,9.9,9.6,9.5,9.4,9.1,10.3,10.1,9.95,9.95,9.95,9.95,10,10.1,10.1,10.1,10.1,10.1,10.1,10.2,10.3,10.6,10.7,11.45,11.15,10.35,10.35,10.05,10.05,10.05,9.95,10.25,10.2,10.1,10.1,10.8,10.85,10.45,10.45,10.65,10.8,11.15,12.1,14.95,13.95,14.15,14.65,14.4,14.4,15.9,13.65,13.8,13.7,13.55,13.5,12.9,12.6,12.3,12.3,12.45,12.6,12.45,12.35,12.45,12.45,12.2,12.6,12.8,12.85,13.05,13.1,13.2,13.15
PWB US Equity,FUND_TOTAL_ASSETS,248.066,249.705,234.207,230.3595,204.4845,186.531,195.1285,176.195,192.1868,204.886,207.214,215.445,211.044,195.5415,194.484,196.5745,194.902,191.165,187.7395,170.996,155.9145,171.296,167.877,163.7195,170.4185,182.7575,190.855,190.944,178.2468,175.5,172.71,176.605,174.708,191.065,192.405,188.254,196.811,199.8955,208.8505,212.9,220.786,217.352,227.957,222.705,236.34,247.147,256.938,266.358,267.12,285.369,298.0435,285.663,275.4135,281.2468,268.8119,276.9683,275.0424,280.7055,298.3419,298.063,290.8481,307.0205,330.2752,327.5794,321.8913,320.3038,337.8975,321.2964,326.6422,376.2619,403.2013,433.2698,421.4744,420.0744,444.9143,443.7442,442.5229,426.3461,446.2566,435.7794,429.5863,419.2083,409.0392,405.4641,403.7584,528.6632,427.3134,441.0526,536.5525,444.7732,465.6894,472.9689,475.5583,508.3043,527.7149,532.4678,581.2552,571.6994,563.6962,569.7154
QCLN US Equity,PX_VOLUME,571958,270139,302188,389352,497589,181480,237351,275582,130123,186627,147083,166490,142654,183436,222233,124589,84242,175612,123045,263941,105118,225966,127677,457880,92952,73509,120687,57953,91267,44712,54635,62230,81952,109104,130231,119981,59282,1082904,320468,784599,1369798,1157137,1074173,1374428,712723,1530800,1208016,965213,2606946,3068906,4129958,2848151,4535447,1681163,1184930,1548947,1677068,2738068,1107854,1158095,841325,386124,296183,339722,440406,466876,357071,490724,347714,315836,793351,569839,383706,381734,227792,174366,243062,244817,247220,135030,245973,171491,377259,207788,200253,235028,250684,214770,247151,714574,758074,447839,650987,638869,811341,528796,588486,666673,300675,334385
QCLN US Equity,PX_LAST,14.012,14.3228,15.6026,16.1442,14.1328,13.4,14.863,13.4595,15.26,15.562,15.7508,16.42,16.81,17.05,16.85,16.9685,16.092,15.29,13.8,12.4,10.01,11.16,10.28,9.59,10.7899,10.9535,10.75,10.1043,8.66,9.3101,8.7261,9.14,8.91,8.63,8.93,9.2901,10.3101,10.69,11.1034,11.98,14.35,14.1263,15.83,14.98,16.3,17.03,17.26,17.92,18.76,20.68,20.31,18.86,18.6765,20.55,19.09,20.94,19.09,18.27,17.77,17.23,16.6,18.41,18.55,18.88,19.6,18.4592,17.06,15.18,14.0301,14.9601,14.8155,16.05,14.3501,14.245,14.81,14.9,14.72,14.29,15.455,14.9807,15.1308,14.515,15.183,15.415,15.843,16.67,16.76,16.81,17.45,18.09,18.96,18.7501,19.2321,20.4,20.36,20.3,20.75,19.85,19.52,19.16
QCLN US Equity,FUND_FLOW,1.5745,0,28.9801,-1.6446,-1.5693,0,0.7074,-2.1961,0,0,-0.799,-0.8247,0.0223,1.7358,0,0,0,-0.0078,-0.6936,0,0,0,-0.5225,-0.4758,-2.9611,0,0,0,0,-1.3137,0,0,-0.491,-0.4446,0,-1.4285,0,7.4932,2.1348,3.9601,6.1193,6.3816,6.8242,4.4946,3.1339,5.943,6.0693,3.4515,25.7877,29.4235,28.5877,-3.912,-40.8647,-14.7971,-1.9338,3.1251,-1.9972,-3.2652,-10.8116,-6.6504,-3.3161,-1.8042,-5.5478,0,0,2.9186,0,0,-2.282,-0.751,-0.7185,-2.2215,0,-0.688,-0.7245,0,-1.421,0.0105,-9.302,0,-0.7475,0,-0.7503,-1.5702,0,0,0,0,1.7369,3.5991,8.2107,2.8211,-1.8602,-1.9549,10.2091,-0.9754,4.1969,-0.9257,1.0211,0
QCLN US Equity,EQY_SH_OUT,0.7,0.7,2.6,2.5,2.4,2.4,2.45,2.3,2.3,2.3,2.25,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.25,2.25,2.25,2.25,2.2,2.15,1.85,1.85,1.85,1.85,1.85,1.7,1.7,1.7,1.65,1.6,1.6,1.45,1.45,2.15,2.35,2.7,3.15,3.6,4.05,4.35,4.55,4.9,5.25,5.45,6.85,8.35,9.7,9.5,7.25,6.45,6.35,6.5,6.4,6.2,5.6,5.2,5,4.9,4.6,4.6,4.6,4.75,4.75,4.75,4.6,4.55,4.5,4.35,4.35,4.3,4.25,4.25,4.15,4.15,3.55,3.55,3.5,3.5,3.45,3.35,3.35,3.35,3.35,3.35,3.45,3.65,4.1,4.25,4.15,4.05,4.55,4.5,4.7,4.65,4.7,4.7
QCLN US Equity,FUND_TOTAL_ASSETS,37.8,38.853,40.612,40.3,33.84,31.992,36.4315,31.119,35.124,35.765,35.595,36.124,37.004,39.238,38.824,39.077,37.191,35.144,31.1121,28.0087,22.4931,24.8488,22.7718,20.7389,19.953,20.2733,19.9042,18.7067,16.0264,15.8724,14.8551,15.5885,14.6928,13.8727,14.3648,13.7399,14.9839,22.8964,26.0176,32.3684,45.0088,50.8303,63.9467,65.1939,73.9512,83.2618,90.3457,97.5719,128.2416,172.314,196.8412,179.3925,135.4156,132.4864,120.9971,136.1784,122.0902,113.3735,99.5403,89.6144,82.9503,90.1279,85.3476,86.9066,90.1408,87.5878,81.0222,72.0826,64.6519,68.0894,66.6804,69.6514,62.6907,61.2176,62.9137,63.4073,61.0083,59.5503,54.8999,53.1279,52.885,50.8363,52.4006,51.8355,53.112,55.89,56.058,56.3186,60.2209,65.8582,77.6183,79.7117,79.7632,82.5013,92.5029,91.2589,97.3625,92.1824,91.6307,89.9127
ERTH US Equity,PX_VOLUME,1392504,579867,640796,391520,594479,478032,507056,343558,210478,266498,285964,340469,253421,178645,517778,295901,223614,236219,210481,685568,543883,431561,327234,399023,194484,179063,234161,289552,301596,203442,140505,176417,161947,125800,171658,139237,129759,144702,70814,90520,96236,114231,59677,79079,123895,134540,91334,222719,211163,106480,266181,183533,149021,150330,104319,200222,98327,191314,75807,116529,134601,94848,59031,62500,54201,41364,50515,88426,48565,48971,106727,99923,89946,75259,148683,77416,88799,73074,31230,54829,64086,94111,96996,76376,85253,196334,152555,157002,197856,179940,166354,165143,221531,200433,167122,456976,311835,223617,262822,209550
ERTH US Equity,PX_LAST,22.67,22.6,24.429,24.8,21.82,21.03,23.36,21.434,23.94,24.76,24.195,26.4001,27.2,27.86,29.474,30.05,29.12,28.38,26.67,24.59,20.8,22.98,22.47,21.511,23.1914,23.99,23.876,22.952,20.85,21.13,20.439,21.129,21.67,21.42,22.06,23.12,24.51,25.0101,25.58,25.3328,26.319,25.32,27.18,26.6996,28.9604,30.14,30.8299,31.77,30.569,32.824,32.63,31.87,32.4868,32.87,30.6,31.48,29.32,29.067,29.6153,28.95,27.97,30.613,30.07,30.53,31.18,30.44,29.9201,27.8701,26.39,29.22,29.73,29.4,26.885,27.9158,30.14,30.0801,30.7601,29.6419,31.35,32.36,33.1251,31.5685,32.46,32.6925,33.89,34.64,35.5514,37.2,38.53,38.54,39.39,39.75,41.309,43.07,42.115,42.27,44.66,42.95,42.949,42.41
ERTH US Equity,FUND_FLOW,15.1975,1.1405,-1.225,-2.542,-3.438,-2.2883,0,0,0,-1.2412,-8.872,-5.297,-2.7062,0,-1.3568,0,-1.4504,0,-4.1015,-5.9899,-4.3796,-1.1127,-2.2398,-2.1425,-1.1687,0,-1.21,-1.1391,-19.9499,-2.0836,0,-4.2902,-1.0998,0,-3.2323,-2.2633,0,0,-1.2919,0,-1.3363,-3.9085,0,0,0,0,1.4983,0,0,0,0,0,0,0,0,0,-2.9892,0.0179,0,-1.4599,0,0,0,0,0,0,0,0,0,0,-1.4627,-1.4206,0,0,0,-1.47,0,0,0,0,0,0,1.5492,-0.0082,0,0,3.4851,0,5.6637,5.7733,1.9779,3.8864,4.0352,2.1061,2.1255,12.5689,8.7853,2.0675,4.2844,0
