ticker,data_field,01/01/2010,02/01/2010,03/01/2010,04/01/2010,05/01/2010,06/01/2010,07/01/2010,08/01/2010,09/01/2010,10/01/2010,11/01/2010,12/01/2010,01/01/2011,02/01/2011,03/01/2011,04/01/2011,05/01/2011,06/01/2011,07/01/2011,08/01/2011,09/01/2011,10/01/2011,11/01/2011,12/01/2011,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018
SRTY US Equity,FUND_TOTAL_ASSETS,,6.726,10.476,8.674,15.078,27.036,25.652,33.87,32.47,29.916,30.786,24.213,38.76,35.298,37.0445,34.65,54.7055,61.38,60.45,43.67,74.6985,74.186,71.791,66.963,60.835,64.856,61.2295,59.532,68.9699,66.4556,75.0838,83.6251,65.7529,63.6471,53.8579,61.3863,54.6656,69.6901,69.8812,69.7488,74.9462,75.6346,61.1953,77.6427,64.0094,59.729,57.1045,53.2776,64.5167,59.2836,73.3889,67.8739,75.7236,83.8452,97.5061,85.5291,123.5243,64.3252,85.9998,92.7721,85.1791,80.8192,77.0447,81.0512,76.4889,91.4519,65.4901,57.7143,79.2798,67.0223,65.2191,51.2608,63.0443,76.1519,73.0631,87.4116,85.4614,77.1016,87.8228,99.4402,101.5329,118.5924,101.0934,98.0096,98.3899,101.9325,100.3772,103.2078,111.425,97.7397,95.2477,96.0951,92.4798,97.025,88.6936,82.9911,69.0642,62.9591,56.477,59.0114
SSG US Equity,FUND_TOTAL_ASSETS,33.315,28.35,24.465,22.8,24.48,26.505,24.765,36.99,28.512,22.77,21.942,20.142,20.2298,18.8244,35.4223,24.5219,21.7788,24.0728,21.5822,29.0448,15.5119,14.6286,14.7144,15.0213,17.8723,19.4,15.7126,14.2086,14.1799,12.857,13.1902,12.6953,14.2459,11.6524,11.6549,10.5919,9.4448,8.9324,10.7158,16.8474,13.337,7.0766,8.8254,9.5215,14.0118,12.8298,12.6688,5.1571,5.3252,4.716,4.3719,4.3915,4.0252,4.3972,4.3844,3.8639,3.907,4.3784,3.679,6.059,6.6536,3.4549,3.6376,3.7031,3.0672,6.1001,4.1125,4.2564,4.135,3.3753,3.0883,3.1577,3.6168,3.5933,3.0425,3.2989,2.7918,2.7126,2.9447,5.3742,6.7712,5.7907,13.19,3.2314,3.0855,2.9395,5.9018,5.9648,4.2547,2.5646,5.0147,5.4837,4.8708,2.9051,3.0903,3.1378,2.6793,2.3424,2.5754,3.0173
QID US Equity,FUND_TOTAL_ASSETS,972.0795,907.1445,918.705,878.598,887.9355,959.9378,880.0223,1099.467,896.214,784.0343,755.3663,629.9738,659.8987,692.6448,722.6126,688.0607,693.7307,683.5828,709.7651,608.4351,799.0363,671.2881,703.347,601.7079,604.6472,606.9216,599.4179,542.8611,549.9159,538.0701,428.4779,462.3807,450.6211,458.6226,377.9573,377.272,382.9951,431.6848,415.5694,426.8425,434.8929,387.4133,404.0549,441.1603,428.0719,407.6833,412.1729,358.3775,363.3607,356.1176,374.2589,350.7908,379.5861,360.4881,390.5902,369.4038,383.3701,346.3315,331.6718,317.5248,324.0278,302.1791,313.0216,351.579,342.6901,342.3852,323.3295,331.5328,420.3858,369.5812,346.3614,328.1794,328.3743,372.7225,368.3693,412.9738,389.7566,377.1228,376.0721,388.1612,389.9397,403.5648,354.9679,336.5667,329.6258,298.6948,293.3819,288.7072,281.3563,313.1506,311.7482,330.2728,346.5116,349.773,318.7817,318.9702,298.5839,265.3001,276.9636,273.9603
REW US Equity,FUND_TOTAL_ASSETS,27.783,25.0845,22.1235,21.1155,22.23,21.0045,24.4913,29.988,22.0613,23.193,22.236,18.636,14.9835,14.3115,19.1328,18.0196,18.556,15.1543,14.6768,15.852,16.6862,13.0531,13.1973,13.3993,11.3689,15.4579,11.3981,11.8737,16.9789,10.0888,9.9472,8.9031,8.6959,12.9363,12.5821,12.4606,9.3622,9.2678,8.8218,8.6539,7.9168,8.4913,7.6834,7.7069,7.2741,6.6236,6.1488,5.6451,5.8051,5.2595,5.2018,5.166,4.7716,4.4791,4.3679,4.0013,4.0574,5.4314,5.5806,5.7349,6.1304,7.7259,8.1871,7.7875,7.3916,5.424,7.6581,11.1643,11.2707,6.9057,6.7358,7.0299,6.4513,5.2547,4.3766,4.8963,4.3525,4.5153,4.7464,4.5386,4.3004,4.3192,4.2672,4.1307,3.7534,3.4013,3.2295,2.4809,2.2699,2.9654,3.2908,3.0589,3.0296,3.8756,3.7884,3.3725,2.5651,2.4875,3.7459,3.717
SPXS US Equity,FUND_TOTAL_ASSETS,306.3204,287.8001,268.8059,256.5695,265.8707,314.6477,303.2701,339.0799,303.5443,284.0961,249.4045,194.0437,199.4334,188.7621,182.6191,175.9782,170.4616,183.9297,199.3533,143.5208,217.4212,198.6789,141.3311,155.911,179.0478,185.5036,163.6519,178.8024,163.0313,155.1708,161.3177,195.7618,193.7861,207.9967,171.2434,167.9121,163.4883,183.8378,200.0394,212.5523,210.7254,193.2659,208.3366,221.3651,235.217,199.5191,197.6169,172.2981,164.0781,172.3736,188.6094,185.7118,220.8463,229.2243,240.0444,242.1721,250.0394,204.4846,197.7583,183.1514,177.6866,198.9654,207.3059,248.4598,286.9618,297.3472,271.8219,305.709,351.4972,368.5275,314.7303,281.9434,248.9898,328.3738,474.1967,541.2923,496.302,390.5758,496.929,554.0358,537.1803,562.0253,480.4038,461.5981,451.7787,437.3707,457.6733,441.4538,431.4194,421.3802,414.5832,421.9138,403.0377,381.9247,343.0465,302.6293,271.2932,292.7116,286.4162,287.9072
SPXU US Equity,FUND_TOTAL_ASSETS,168.21,198.055,226.8775,218.295,239.016,330.708,358.644,405.042,446.985,395.6225,362.645,290.103,314.07,297.27,291.0875,272.8125,301.444,290.037,343.93,338.643,535.572,533.82,571.181,596.7585,570.708,569.3325,605.445,494.3895,469.9691,480.6821,506.0042,600.2058,563.8446,564.3577,479.5238,461.9131,500.766,559.2029,534.8778,559.7553,582.2081,600.7141,549.2448,617.8973,582.8459,507.0041,476.8521,413.1586,470.3764,480.5753,466.3724,504.2511,585.4184,594.802,636.3627,498.2805,515.2114,454.2169,472.4484,407.3637,401.5609,448.8429,433.6211,522.8989,535.5829,492.5221,477.4268,467.9536,604.8827,597.2524,553.9857,532.0192,462.3732,599.4587,703.3789,833.2726,820.5136,669.5143,868.0895,959.2583,883.7963,918.9508,771.8958,717.3279,735.8718,692.8336,693.8944,687.9803,697.9587,715.9326,679.8162,693.8209,717.8679,657.1261,564.0632,523.2005,439.2939,446.8874,448.6799,435.8804
ERX US Equity,FUND_TOTAL_ASSETS,140.4667,182.8613,200.1298,147.5684,251.1756,285.0005,285.4476,276.9695,262.5639,205.0128,209.7624,241.4482,284.1214,410.2593,376.1538,400.6803,416.3266,408.8145,285.4195,437.713,354.0071,374.1709,475.105,384.1709,345.345,362.6921,393.823,358.731,356.016,438.7673,336.9969,267.051,262.1511,250.9355,287.8599,264.8165,214.4113,193.0383,175.6168,185.7333,152.3039,172.4263,152.3354,147.0644,140.9055,145.6717,137.1827,161.7138,138.363,142.2648,137.1768,138.0751,155.6823,201.7697,174.2419,197.4176,186.8903,231.5976,189.8789,323.4593,448.6151,449.0928,532.4756,458.7537,472.5454,499.6955,465.4265,488.3121,411.6999,489.3238,476.7716,464.8058,521.0243,474.5193,525.3128,591.8112,565.8302,575.6029,511.1211,509.6872,533.5129,452.8909,572.8179,566.1534,547.1268,540.9414,530.7427,521.4952,511.0564,544.0836,543.35,517.6997,532.3017,481.1312,481.4912,474.0188,455.2846,411.0749,421.9236,454.108
DRV US Equity,FUND_TOTAL_ASSETS,65.208,74.359,92.4255,76.3775,74.2095,118.776,95.4491,97.1916,96.6397,78.8684,71.7493,55.5343,47.934,44.8531,35.9084,33.6413,33.0531,36.2921,40.8396,30.0276,41.3114,33.9776,31.4311,26.685,25.0685,28.8852,21.7762,20.9137,20.7457,19.4711,20.3866,20.3306,19.0291,20.5237,17.0774,19.322,18.1526,14.7096,13.4171,13.5025,11.3311,20.2853,11.8993,15.3879,16.9632,17.4195,13.6734,13.4089,14.5299,10.0572,9.7864,10.9265,12.0858,11.5826,13.3416,12.1425,16.4066,9.1977,10.0101,9.3272,8.6187,14.0536,10.8823,12.8896,11.525,17.3801,9.8071,14.3068,11.5556,11.7457,10.6904,10.9303,10.7039,12.6923,11.5392,15.5517,19.4716,19.433,15.9917,20.7099,21.3939,22.9673,24.4608,12.7624,17.0929,15.3539,15.7669,24.0055,17.093,17.1471,15.8637,15.3642,15.9426,15.8817,17.8147,13.1841,13.7001,16.2622,14.425,14.3584
DIG US Equity,FUND_TOTAL_ASSETS,372.2085,387.801,398.2725,368.676,374.274,355.0838,373.455,352.3065,345.0345,328.5765,322.5105,366.6622,426.303,539.5163,468.2108,435.045,383.4788,343.4955,295.155,316.584,250.002,295.836,289.68,253.9845,262.878,276.966,268.3688,257.631,218.4548,267.828,256.5225,247.86,249.135,222.768,199.479,192.024,204.2933,176.781,166.98,159.0323,153.738,138.3885,143.928,138.984,131.6963,142.6583,138.096,146.244,123.5858,126.975,132.8438,151.8735,149.8875,192.0559,165.8873,167.5081,136.4682,128.9148,105.2123,144.3847,161.5822,170.8046,175.964,186.3144,165.237,157.5558,125.9638,143.6135,113.0521,133.7906,126.2641,120.5261,145.9398,138.2768,152.1931,169.0919,148.6054,157.8886,143.7904,139.4886,149.0571,145.6995,170.0638,175.0507,161.0711,158.8898,148.6657,140.3711,127.9156,127.2111,132.9347,121.6554,145.861,131.1441,130.577,137.4503,133.2603,103.7376,110.3515,123.2235
SMDD US Equity,FUND_TOTAL_ASSETS,,6.785,5.468,4.748,5.553,6.505,5.143,5.845,4.151,3.714,3.353,2.752,2.57,3.3225,4.05,3.708,9.545,12.961,10.915,8.022,13.572,13.202,11.6025,11.3945,10.066,8.743,8.76,8.6775,9.7295,11.4752,8.8198,10.1569,11.6088,7.5146,8.8972,6.4298,6.6746,6.4339,4.3215,5.3541,6.0491,5.1516,5.2215,6.8274,6.7231,5.9581,5.6844,5.1519,6.8798,5.8787,8.1949,8.4871,8.0009,7.0549,10.3477,8.8786,7.8233,2.8056,4.5752,6.2559,8.2723,7.0752,5.1916,7.0048,5.0979,6.8268,3.6624,6.0068,6.4868,5.435,5.1704,4.0753,4.7094,2.5644,4.8596,4.645,4.2994,4.1369,3.6283,3.5604,3.5786,3.8621,3.0349,3.6673,3.4686,3.1996,3.2168,4.5504,3.1569,2.9978,2.9128,3.0385,2.7048,3.1069,2.2672,2.2517,2.0641,2.3151,2.2242,2.2262
