date,green_etf
2010-01-01,NA
2010-02-01,0.05053795192515087
2010-03-01,2.315286066033549
2010-04-01,0.32205359171359177
2010-05-01,-2.521408013738037
2010-06-01,0.47944410200227305
2010-07-01,0.8714975634164636
2010-08-01,-3.031425447805525
2010-09-01,-0.00916692901362901
2010-10-01,0.8355274417543253
2010-11-01,0.17863708915231724
2010-12-01,-0.3185638295638836
2011-01-01,0.29150512626607183
2011-02-01,-2.11840067709378
2011-03-01,-0.15856041454126696
2011-04-01,0.8509967349232261
2011-05-01,-0.041644211358909757
2011-06-01,-0.4356664240622511
2011-07-01,-1.6861015546758333
2011-08-01,0.2574166623094324
2011-09-01,0.6440226958526831
2011-10-01,0.3084202419432031
2011-11-01,-0.6634771418535073
2011-12-01,-1.1851408115464324
2012-01-01,0.15141246680356613
2012-02-01,1.0026087234035295
2012-03-01,0.06106787444056936
2012-04-01,-0.1033001967186193
2012-05-01,-0.44987698020207695
2012-06-01,0.5654319331931879
2012-07-01,-0.3919997926555475
2012-08-01,-0.33694191289795106
2012-09-01,0.5083665856208099
2012-10-01,0.5843153991658435
2012-11-01,0.786078633820024
2012-12-01,0.42965523717481807
2013-01-01,-0.49945998975232064
2013-02-01,-0.47034379711044977
2013-03-01,0.23435785442301604
2013-04-01,-0.9102519574416492
2013-05-01,0.7656298511063904
2013-06-01,-0.11278302127619255
2013-07-01,1.7017156273828669
2013-08-01,0.8970194589788412
2013-09-01,1.1251846999078259
2013-10-01,1.1655216193462066
2013-11-01,0.7182498489396708
2013-12-01,0.023089622684426353
2014-01-01,0.994828576709926
2014-02-01,1.6740836108692494
2014-03-01,-0.1186707867860577
2014-04-01,-1.1626622414534142
2014-05-01,-0.3613321828871883
2014-06-01,0.5351239053231581
2014-07-01,0.22735996047523863
2014-08-01,0.40173300238999315
2014-09-01,-0.6988190307747176
2014-10-01,-1.3390349308254565
2014-11-01,-0.1584744459722198
2014-12-01,-0.045517559379730545
2015-01-01,-0.18367464010121207
2015-02-01,-0.17243596059198693
2015-03-01,0.3486464976450687
2015-04-01,0.6511456798949744
2015-05-01,-0.0444913594549781
2015-06-01,0.8090410642775255
2015-07-01,0.6148472093234392
2015-08-01,0.5149166401817323
2015-09-01,0.574777783248943
2015-10-01,0.22675685081716696
2015-11-01,0.3252585892245253
2015-12-01,-2.353421757362594
2016-01-01,0.7733562370672464
2016-02-01,-1.1203522847324474
2016-03-01,-1.1160822016698173
2016-04-01,0.09125435461409706
2016-05-01,0.0558382344866757
2016-06-01,0.8245145145154922
2016-07-01,0.2898724789578239
2016-08-01,-1.6992543961480868
2016-09-01,-1.2172196933860235
2016-10-01,-0.6948620457209718
2016-11-01,-1.1049509842215257
2016-12-01,-0.06950776272211083
2017-01-01,-4.30814077674789
2017-02-01,1.0248352684376032
2017-03-01,-0.5927525234155552
2017-04-01,-1.0449987520855681
2017-05-01,0.35394197064177135
2017-06-01,1.1579417605974212
2017-07-01,0.9526240673243292
2017-08-01,0.9072878190873005
2017-09-01,0.5899033757853924
2017-10-01,0.30308870719049286
2017-11-01,-0.1852220115779693
2017-12-01,0.8493729736633259
2018-01-01,-0.40711408058713616
2018-02-01,0.2713117147570432
2018-03-01,0.5981055149236174
2018-04-01,0.57668644579805
